subject,recall,item_who,word_who,list,soa,listtype
7,0,oddball,terrorista,4,2,emotional
7,0,oddball,asfixia,6,6,emotional
7,0,oddball,asesino,7,6,emotional
7,1,oddball,sida,8,2,emotional
7,1,oddball,ahogado,14,3,emotional
7,0,oddball,ceguera,16,1,emotional
7,0,oddball,tumor,17,6,emotional
7,1,oddball,masacre,18,1,emotional
7,0,oddball,crimen,20,3,emotional
7,1,oddball,traidor,21,4,emotional
7,1,oddball,violacion,22,4,emotional
7,1,oddball,hambruna,25,4,emotional
7,0,oddball,cancer,27,6,emotional
7,0,oddball,plaga,28,4,emotional
7,1,oddball,suicida,30,1,emotional
7,1,oddball,amputacion,34,2,emotional
7,0,oddball,paraplejico,35,2,emotional
7,1,oddball,morgue,36,3,emotional
7,0,oddball,sufrimiento,37,1,emotional
9,1,oddball,violacion,7,6,emotional
9,0,oddball,plaga,13,2,emotional
9,1,oddball,cancer,14,4,emotional
9,1,oddball,morgue,15,1,emotional
9,1,oddball,nazi,16,3,emotional
9,0,oddball,ahogado,17,6,emotional
9,0,oddball,asesino,18,1,emotional
9,1,oddball,tumor,20,6,emotional
9,1,oddball,ceguera,21,4,emotional
9,1,oddball,paraplejico,23,6,emotional
9,1,oddball,hambruna,24,1,emotional
9,1,oddball,masacre,26,2,emotional
9,0,oddball,asfixia,27,2,emotional
9,0,oddball,sufrimiento,28,3,emotional
9,1,oddball,amputacion,31,4,emotional
9,1,oddball,traidor,33,3,emotional
9,0,oddball,suicida,34,3,emotional
9,1,oddball,sida,35,2,emotional
9,1,oddball,terrorista,38,4,emotional
9,1,oddball,crimen,39,1,emotional
10,0,oddball,ahogado,2,1,emotional
10,1,oddball,suicida,3,6,emotional
10,1,oddball,cancer,4,3,emotional
10,0,oddball,plaga,5,1,emotional
10,0,oddball,sufrimiento,6,1,emotional
10,1,oddball,terrorista,7,6,emotional
10,1,oddball,amputacion,9,2,emotional
10,1,oddball,morgue,10,4,emotional
10,0,oddball,crimen,13,3,emotional
10,1,oddball,violacion,15,6,emotional
10,1,oddball,tumor,17,1,emotional
10,1,oddball,paraplejico,19,2,emotional
10,1,oddball,hambruna,20,4,emotional
10,0,oddball,masacre,21,3,emotional
10,1,oddball,nazi,24,2,emotional
10,1,oddball,sida,27,6,emotional
10,0,oddball,asfixia,29,4,emotional
10,1,oddball,asesino,31,3,emotional
10,1,oddball,traidor,33,4,emotional
10,0,oddball,ceguera,36,2,emotional
11,0,oddball,ahogado,1,6,emotional
11,1,oddball,asesino,3,2,emotional
11,0,oddball,asfixia,11,1,emotional
11,1,oddball,terrorista,14,1,emotional
11,1,oddball,sida,17,3,emotional
11,0,oddball,plaga,19,4,emotional
11,1,oddball,crimen,20,4,emotional
11,1,oddball,amputacion,21,1,emotional
11,1,oddball,masacre,23,2,emotional
11,1,oddball,tumor,24,6,emotional
11,1,oddball,cancer,26,6,emotional
11,1,oddball,hambruna,27,6,emotional
11,1,oddball,nazi,29,4,emotional
11,1,oddball,morgue,30,3,emotional
11,0,oddball,paraplejico,32,1,emotional
11,1,oddball,suicida,33,3,emotional
11,1,oddball,sufrimiento,34,4,emotional
11,1,oddball,traidor,35,2,emotional
11,0,oddball,ceguera,36,3,emotional
11,1,oddball,violacion,38,2,emotional
12,1,oddball,hambruna,5,6,emotional
12,1,oddball,morgue,6,6,emotional
12,1,oddball,sida,11,1,emotional
12,1,oddball,ahogado,12,3,emotional
