subject,CRPmean,oddballtype,transition,direction,item_type
62,0.5,E,from,backwards,oddball
63,0.375,E,from,backwards,oddball
64,0.12,E,from,backwards,oddball
65,0.5,E,from,backwards,oddball
66,0.5,E,from,backwards,oddball
67,0.28,E,from,backwards,oddball
68,0.442857142857143,E,from,backwards,oddball
69,0.566666666666667,E,from,backwards,oddball
70,0.333333333333333,E,from,backwards,oddball
71,0,E,from,backwards,oddball
72,0.25,E,from,backwards,oddball
73,0.1,E,from,backwards,oddball
74,1,E,from,backwards,oddball
75,0.333333333333333,E,from,backwards,oddball
4,0.875,E,from,forwards,oddball
5,0.425,E,from,forwards,oddball
6,0.2,E,from,forwards,oddball
7,0.275,E,from,forwards,oddball
9,0.4625,E,from,forwards,oddball
10,0.28,E,from,forwards,oddball
11,0.286666666666667,E,from,forwards,oddball
12,0.333333333333333,E,from,forwards,oddball
14,0.319047619047619,E,from,forwards,oddball
15,0.645833333333333,E,from,forwards,oddball
16,0.9,E,from,forwards,oddball
17,0.55,E,from,forwards,oddball
18,0.555555555555555,E,from,forwards,oddball
19,0.4,E,from,forwards,oddball
20,0.22,E,from,forwards,oddball
21,0.416666666666667,E,from,forwards,oddball
22,0.458333333333333,E,from,forwards,oddball
23,0.233333333333333,E,from,forwards,oddball
24,0.313333333333333,E,from,forwards,oddball
25,0.25,E,from,forwards,oddball
26,0,E,from,forwards,oddball
27,0.261904761904762,E,from,forwards,oddball
28,0.473333333333333,E,from,forwards,oddball
29,0.3,E,from,forwards,oddball
30,0.25,E,from,forwards,oddball
31,0.15,E,from,forwards,oddball
32,0.5,E,from,forwards,oddball
33,0.433333333333333,E,from,forwards,oddball
34,0.208333333333333,E,from,forwards,oddball
35,0.306666666666667,E,from,forwards,oddball
36,0.133333333333333,E,from,forwards,oddball
37,0.333333333333333,E,from,forwards,oddball
38,0.416666666666667,E,from,forwards,oddball
39,0.253333333333333,E,from,forwards,oddball
40,0.28,E,from,forwards,oddball
41,0.301904761904762,E,from,forwards,oddball
42,0.56,E,from,forwards,oddball
43,0.233333333333333,E,from,forwards,oddball
44,0.133333333333333,E,from,forwards,oddball
45,0.266666666666667,E,from,forwards,oddball
46,0.253333333333333,E,from,forwards,oddball
47,0.14,E,from,forwards,oddball
48,0.833333333333333,E,from,forwards,oddball
49,0.3,E,from,forwards,oddball
50,0.466666666666667,E,from,forwards,oddball
51,0.225,E,from,forwards,oddball
52,0.15,E,from,forwards,oddball
53,0.111111111111111,E,from,forwards,oddball
54,0.237619047619048,E,from,forwards,oddball
55,0.208333333333333,E,from,forwards,oddball
56,0.583333333333333,E,from,forwards,oddball
57,0.333333333333333,E,from,forwards,oddball
58,0.25,E,from,forwards,oddball
59,0,E,from,forwards,oddball
60,0.375,E,from,forwards,oddball
61,0.25,E,from,forwards,oddball
62,0.5,E,from,forwards,oddball
63,0.4375,E,from,forwards,oddball
64,0.333333333333333,E,from,forwards,oddball
65,0.444444444444444,E,from,forwards,oddball
66,0.833333333333333,E,from,forwards,oddball
67,0.216666666666667,E,from,forwards,oddball
68,0.266666666666667,E,from,forwards,oddball
69,0.283333333333333,E,from,forwards,oddball
70,0.25,E,from,forwards,oddball
71,0.8,E,from,forwards,oddball
72,0.666666666666667,E,from,forwards,oddball
73,0.383333333333333,E,from,forwards,oddball
74,0.5,E,from,forwards,oddball
75,0.366666666666667,E,from,forwards,oddball
4,0.75,P,to,backwards,oddball
5,0.394047619047619,P,to,backwards,oddball
6,0.14,P,to,backwards,oddball
7,0.12,P,to,backwards,oddball
9,0.3125,P,to,backwards,oddball
10,0.2,P,to,backwards,oddball
11,0.144444444444444,P,to,backwards,oddball
12,0.125,P,to,backwards,oddball
14,0.45,P,to,backwards,oddball
15,0.433333333333333,P,to,backwards,oddball
16,0.2,P,to,backwards,oddball
17,0.14,P,to,backwards,oddball
18,0.475,P,to,backwards,oddball
19,0.1,P,to,backwards,oddball
20,0.133333333333333,P,to,backwards,oddball
21,0,P,to,backwards,oddball
22,0.183333333333333,P,to,backwards,oddball
23,0.666666666666667,P,to,backwards,oddball
24,0.0625,P,to,backwards,oddball
25,0.3,P,to,backwards,oddball
26,0.45,P,to,backwards,oddball
27,0.04,P,to,backwards,oddball
28,0.0666666666666667,P,to,backwards,oddball
29,0.266666666666667,P,to,backwards,oddball
30,0.173809523809524,P,to,backwards,oddball
31,0.216666666666667,P,to,backwards,oddball
32,0.25,P,to,backwards,oddball
33,0.416666666666667,P,to,backwards,oddball
34,0.2,P,to,backwards,oddball
35,0.0619047619047619,P,to,backwards,oddball
36,0.4,P,to,backwards,oddball
37,0.433333333333333,P,to,backwards,oddball
38,0.2,P,to,backwards,oddball
39,0.8,P,to,backwards,oddball
40,0.28,P,to,backwards,oddball
41,0.116666666666667,P,to,backwards,oddball
42,0.35,P,to,backwards,oddball
43,0.466666666666667,P,to,backwards,oddball
44,1,P,to,backwards,oddball
45,0.456666666666667,P,to,backwards,oddball
46,0.423333333333333,P,to,backwards,oddball
47,0.0666666666666667,P,to,backwards,oddball
48,0.25,P,to,backwards,oddball
49,0.15,P,to,backwards,oddball
50,0.23,P,to,backwards,oddball
51,0.233333333333333,P,to,backwards,oddball
52,0.25,P,to,backwards,oddball
53,0.291666666666667,P,to,backwards,oddball
54,0.5,P,to,backwards,oddball
55,0.266666666666667,P,to,backwards,oddball
56,0,P,to,backwards,oddball
57,0.6,P,to,backwards,oddball
58,0.4375,P,to,backwards,oddball
59,0.4,P,to,backwards,oddball
60,0.0833333333333333,P,to,backwards,oddball
61,0.106666666666667,P,to,backwards,oddball
62,0.666666666666667,P,to,backwards,oddball
63,0.46,P,to,backwards,oddball
64,0.416666666666667,P,to,backwards,oddball
65,0.366666666666667,P,to,backwards,oddball
66,0.17,P,to,backwards,oddball
67,0.6,P,to,backwards,oddball
68,0.0666666666666667,P,to,backwards,oddball
69,0.396666666666667,P,to,backwards,oddball
70,0.25,P,to,backwards,oddball
71,0.233333333333333,P,to,backwards,oddball
72,0.2,P,to,backwards,oddball
73,0.216666666666667,P,to,backwards,oddball
74,0.555555555555555,P,to,backwards,oddball
75,0.14,P,to,backwards,oddball
4,0.466666666666667,P,to,forwards,oddball
5,0.14,P,to,forwards,oddball
6,0.166666666666667,P,to,forwards,oddball
7,0.15,P,to,forwards,oddball
9,0.44,P,to,forwards,oddball
10,0.3,P,to,forwards,oddball
11,0.138181818181818,P,to,forwards,oddball
12,0.566666666666667,P,to,forwards,oddball
14,0.133333333333333,P,to,forwards,oddball
15,0.133333333333333,P,to,forwards,oddball
16,0.233333333333333,P,to,forwards,oddball
17,0.25,P,to,forwards,oddball
18,0.133333333333333,P,to,forwards,oddball
19,0.19,P,to,forwards,oddball
20,0.458333333333333,P,to,forwards,oddball
21,0.375,P,to,forwards,oddball
22,0.251111111111111,P,to,forwards,oddball
23,0.125,P,to,forwards,oddball
24,0.316666666666667,P,to,forwards,oddball
25,0.283333333333333,P,to,forwards,oddball
26,0.266666666666667,P,to,forwards,oddball
27,0.154285714285714,P,to,forwards,oddball
28,0.273333333333333,P,to,forwards,oddball
29,0.416666666666667,P,to,forwards,oddball
30,0.233333333333333,P,to,forwards,oddball
31,0.24,P,to,forwards,oddball
32,0.13,P,to,forwards,oddball
33,0.25,P,to,forwards,oddball
34,0.141666666666667,P,to,forwards,oddball
35,0.235238095238095,P,to,forwards,oddball
36,0.2,P,to,forwards,oddball
37,0.146666666666667,P,to,forwards,oddball
38,0.2,P,to,forwards,oddball
39,0.166666666666667,P,to,forwards,oddball
40,0.14,P,to,forwards,oddball
41,0.2,P,to,forwards,oddball
42,0.333333333333333,P,to,forwards,oddball
43,0.316666666666667,P,to,forwards,oddball
44,0.286666666666667,P,to,forwards,oddball
45,0.266666666666667,P,to,forwards,oddball
46,0.1,P,to,forwards,oddball
47,0.375,P,to,forwards,oddball
48,0.35,P,to,forwards,oddball
49,0.283333333333333,P,to,forwards,oddball
50,0.107142857142857,P,to,forwards,oddball
51,0.118571428571429,P,to,forwards,oddball
52,0.277777777777778,P,to,forwards,oddball
53,0.226666666666667,P,to,forwards,oddball
54,0.18,P,to,forwards,oddball
55,0.08,P,to,forwards,oddball
56,0.33,P,to,forwards,oddball
57,0,P,to,forwards,oddball
58,0,P,to,forwards,oddball
59,0.222222222222222,P,to,forwards,oddball
60,0.5,P,to,forwards,oddball
61,0.186666666666667,P,to,forwards,oddball
62,0.133333333333333,P,to,forwards,oddball
63,0.171666666666667,P,to,forwards,oddball
64,0.458333333333333,P,to,forwards,oddball
65,0.1,P,to,forwards,oddball
66,0.152380952380952,P,to,forwards,oddball
67,0.316666666666667,P,to,forwards,oddball
68,0.433333333333333,P,to,forwards,oddball
69,0.18,P,to,forwards,oddball
70,0.14,P,to,forwards,oddball
71,0.336666666666667,P,to,forwards,oddball
72,0.146666666666667,P,to,forwards,oddball
73,0.16040404040404,P,to,forwards,oddball
74,0.48,P,to,forwards,oddball
75,0.228571428571429,P,to,forwards,oddball
4,0.416666666666667,P,from,backwards,oddball
5,0.366666666666667,P,from,backwards,oddball
6,0.1,P,from,backwards,oddball
7,0.566666666666667,P,from,backwards,oddball
9,0.106666666666667,P,from,backwards,oddball
10,0.25,P,from,backwards,oddball
11,0.3,P,from,backwards,oddball
12,0.25,P,from,backwards,oddball
14,0.158571428571429,P,from,backwards,oddball
15,0.22,P,from,backwards,oddball
16,0.533333333333333,P,from,backwards,oddball
17,0.106666666666667,P,from,backwards,oddball
18,0.173333333333333,P,from,backwards,oddball
19,0.15,P,from,backwards,oddball
20,0.2,P,from,backwards,oddball
21,0.45,P,from,backwards,oddball
22,0.273809523809524,P,from,backwards,oddball
23,0,P,from,backwards,oddball
24,0.286666666666667,P,from,backwards,oddball
25,0.15,P,from,backwards,oddball
26,0.266666666666667,P,from,backwards,oddball
27,0.357142857142857,P,from,backwards,oddball
28,0.233333333333333,P,from,backwards,oddball
29,0.2,P,from,backwards,oddball
30,0.22,P,from,backwards,oddball
31,0.366666666666667,P,from,backwards,oddball
32,0.183333333333333,P,from,backwards,oddball
33,0.25,P,from,backwards,oddball
34,0.106666666666667,P,from,backwards,oddball
35,0.2,P,from,backwards,oddball
36,0.25,P,from,backwards,oddball
37,0.17,P,from,backwards,oddball
38,0.385714285714286,P,from,backwards,oddball
39,0.316666666666667,P,from,backwards,oddball
40,0.156666666666667,P,from,backwards,oddball
41,0.666666666666667,P,from,backwards,oddball
42,0.174603174603175,P,from,backwards,oddball
43,0.293333333333333,P,from,backwards,oddball
44,0.35,P,from,backwards,oddball
45,0.266666666666667,P,from,backwards,oddball
46,0.228571428571429,P,from,backwards,oddball
47,0.19,P,from,backwards,oddball
48,0.19,P,from,backwards,oddball
49,0.37,P,from,backwards,oddball
50,0.533333333333333,P,from,backwards,oddball
51,0.0857142857142857,P,from,backwards,oddball
52,0.31,P,from,backwards,oddball
53,0.16,P,from,backwards,oddball
54,0.0333333333333333,P,from,backwards,oddball
55,0.25,P,from,backwards,oddball
56,0.19,P,from,backwards,oddball
57,0.5,P,from,backwards,oddball
58,0.3,P,from,backwards,oddball
59,0.666666666666667,P,from,backwards,oddball
60,0.133333333333333,P,from,backwards,oddball
61,0.45,P,from,backwards,oddball
62,0.04,P,from,backwards,oddball
63,0.2,P,from,backwards,oddball
64,0.307142857142857,P,from,backwards,oddball
65,0.166666666666667,P,from,backwards,oddball
66,0.285714285714286,P,from,backwards,oddball
67,0.286666666666667,P,from,backwards,oddball
68,0.166666666666667,P,from,backwards,oddball
69,0.0666666666666667,P,from,backwards,oddball
70,0.1,P,from,backwards,oddball
71,0.366666666666667,P,from,backwards,oddball
72,0.406666666666667,P,from,backwards,oddball
73,0.333333333333333,P,from,backwards,oddball
74,0.3,P,from,backwards,oddball
75,0.266666666666667,P,from,backwards,oddball
4,0.388888888888889,P,from,forwards,oddball
5,0.5,P,from,forwards,oddball
6,0.183333333333333,P,from,forwards,oddball
7,0.5,P,from,forwards,oddball
9,0.603333333333333,P,from,forwards,oddball
10,0.416666666666667,P,from,forwards,oddball
11,0.246666666666667,P,from,forwards,oddball
12,0.266666666666667,P,from,forwards,oddball
14,0.17,P,from,forwards,oddball
15,0.277777777777778,P,from,forwards,oddball
16,0.125,P,from,forwards,oddball
17,0.5625,P,from,forwards,oddball
18,0.25,P,from,forwards,oddball
19,0.333333333333333,P,from,forwards,oddball
20,0.0333333333333333,P,from,forwards,oddball
21,0.116666666666667,P,from,forwards,oddball
22,0.227142857142857,P,from,forwards,oddball
23,0.625,P,from,forwards,oddball
24,0.0666666666666667,P,from,forwards,oddball
25,0.25,P,from,forwards,oddball
26,0.361904761904762,P,from,forwards,oddball
27,0.0666666666666667,P,from,forwards,oddball
28,0.166666666666667,P,from,forwards,oddball
29,0.116666666666667,P,from,forwards,oddball
30,0.296666666666667,P,from,forwards,oddball
31,0.166666666666667,P,from,forwards,oddball
32,0.125,P,from,forwards,oddball
33,0.05,P,from,forwards,oddball
34,0.35,P,from,forwards,oddball
35,0.286666666666667,P,from,forwards,oddball
36,0.183333333333333,P,from,forwards,oddball
37,0.175,P,from,forwards,oddball
38,0.163333333333333,P,from,forwards,oddball
39,0.09,P,from,forwards,oddball
40,0.11547619047619,P,from,forwards,oddball
41,0.375,P,from,forwards,oddball
42,0.346666666666667,P,from,forwards,oddball
43,0.133333333333333,P,from,forwards,oddball
44,0.35,P,from,forwards,oddball
45,0.166666666666667,P,from,forwards,oddball
46,0.166666666666667,P,from,forwards,oddball
47,0.133333333333333,P,from,forwards,oddball
48,0.146666666666667,P,from,forwards,oddball
49,0.433333333333333,P,from,forwards,oddball
50,0.233333333333333,P,from,forwards,oddball
51,0.208333333333333,P,from,forwards,oddball
52,0,P,from,forwards,oddball
53,0.1125,P,from,forwards,oddball
54,0.333333333333333,P,from,forwards,oddball
55,0.333333333333333,P,from,forwards,oddball
56,0.1,P,from,forwards,oddball
57,0,P,from,forwards,oddball
58,0.125,P,from,forwards,oddball
59,0,P,from,forwards,oddball
60,0.5,P,from,forwards,oddball
61,0.208333333333333,P,from,forwards,oddball
62,0.213333333333333,P,from,forwards,oddball
63,0.152380952380952,P,from,forwards,oddball
64,0.263333333333333,P,from,forwards,oddball
65,0.3,P,from,forwards,oddball
66,0.208333333333333,P,from,forwards,oddball
67,0.13,P,from,forwards,oddball
68,0.222222222222222,P,from,forwards,oddball
69,0.205,P,from,forwards,oddball
70,0.5,P,from,forwards,oddball
71,0.5,P,from,forwards,oddball
72,0.283333333333333,P,from,forwards,oddball
73,0.274603174603175,P,from,forwards,oddball
74,0.625,P,from,forwards,oddball
75,0.395833333333333,P,from,forwards,oddball
