subject,CRPmean,oddballtype,transition,direction,item_type
43,0.273333333333333,P,from,backwards,control
44,0.277777777777778,P,from,backwards,control
45,0.433333333333333,P,from,backwards,control
46,0.366666666666667,P,from,backwards,control
47,0.2,P,from,backwards,control
48,0.2,P,from,backwards,control
49,0.333333333333333,P,from,backwards,control
50,0.260714285714286,P,from,backwards,control
51,0.0666666666666667,P,from,backwards,control
52,0.35,P,from,backwards,control
53,0.333333333333333,P,from,backwards,control
54,0.266666666666667,P,from,backwards,control
55,0.23,P,from,backwards,control
56,0.15,P,from,backwards,control
57,0.3,P,from,backwards,control
58,0.375,P,from,backwards,control
59,0.48,P,from,backwards,control
60,0.125,P,from,backwards,control
61,0,P,from,backwards,control
62,0.266666666666667,P,from,backwards,control
63,0.2,P,from,backwards,control
64,0.25,P,from,backwards,control
65,0.166666666666667,P,from,backwards,control
66,0.366666666666667,P,from,backwards,control
67,0.25,P,from,backwards,control
68,0.5,P,from,backwards,control
69,0.220952380952381,P,from,backwards,control
70,0.466666666666667,P,from,backwards,control
71,0.25,P,from,backwards,control
72,0.3,P,from,backwards,control
73,0.266666666666667,P,from,backwards,control
74,0.333333333333333,P,from,backwards,control
75,0.186666666666667,P,from,backwards,control
4,0.4,P,from,forwards,control
5,0.333333333333333,P,from,forwards,control
6,0.875,P,from,forwards,control
7,0.04,P,from,forwards,control
9,0.208333333333333,P,from,forwards,control
10,0.5625,P,from,forwards,control
11,0.25,P,from,forwards,control
12,0.35,P,from,forwards,control
14,0,P,from,forwards,control
15,0.3,P,from,forwards,control
16,0.555555555555555,P,from,forwards,control
17,0.666666666666667,P,from,forwards,control
18,0.333333333333333,P,from,forwards,control
19,0.166666666666667,P,from,forwards,control
20,0.5625,P,from,forwards,control
21,0.416666666666667,P,from,forwards,control
22,0.533333333333333,P,from,forwards,control
23,0,P,from,forwards,control
24,0.2,P,from,forwards,control
25,0.0625,P,from,forwards,control
26,0.0666666666666667,P,from,forwards,control
27,0,P,from,forwards,control
28,0,P,from,forwards,control
29,0.75,P,from,forwards,control
30,0.25,P,from,forwards,control
31,0.2,P,from,forwards,control
32,0.833333333333333,P,from,forwards,control
33,0.166666666666667,P,from,forwards,control
34,0.267857142857143,P,from,forwards,control
35,0.25,P,from,forwards,control
36,0.375,P,from,forwards,control
37,0.25,P,from,forwards,control
38,0.3,P,from,forwards,control
39,0.0833333333333333,P,from,forwards,control
40,0.333333333333333,P,from,forwards,control
41,0.5,P,from,forwards,control
42,0.166666666666667,P,from,forwards,control
43,0.166666666666667,P,from,forwards,control
44,0.444444444444444,P,from,forwards,control
45,0.277777777777778,P,from,forwards,control
46,0.5,P,from,forwards,control
47,0.1,P,from,forwards,control
48,0.4,P,from,forwards,control
49,0.35,P,from,forwards,control
50,0.2,P,from,forwards,control
51,0.5,P,from,forwards,control
52,0,P,from,forwards,control
53,0,P,from,forwards,control
54,0.375,P,from,forwards,control
55,0,P,from,forwards,control
56,0.29047619047619,P,from,forwards,control
57,0.166666666666667,P,from,forwards,control
58,0.111111111111111,P,from,forwards,control
59,0.333333333333333,P,from,forwards,control
60,0.458333333333333,P,from,forwards,control
61,0.5,P,from,forwards,control
62,0.5,P,from,forwards,control
63,0.39,P,from,forwards,control
64,0.133333333333333,P,from,forwards,control
65,0.15,P,from,forwards,control
66,0,P,from,forwards,control
67,0.5,P,from,forwards,control
68,0.5,P,from,forwards,control
69,0,P,from,forwards,control
70,0.1875,P,from,forwards,control
71,0.75,P,from,forwards,control
72,0.333333333333333,P,from,forwards,control
73,0.253333333333333,P,from,forwards,control
74,0.625,P,from,forwards,control
75,0.116666666666667,P,from,forwards,control
4,0.28,E,to,backwards,oddball
5,0.2,E,to,backwards,oddball
6,0.466666666666667,E,to,backwards,oddball
7,0.533333333333333,E,to,backwards,oddball
