subject,age,gender,word,list,oddtype,rating
4,28,F,cama,40,perceptual,10
4,28,F,cojin,40,perceptual,10
4,28,F,pausa,40,perceptual,10
4,28,F,recostarse,40,perceptual,10
4,28,F,sillon,40,perceptual,10
4,28,F,hamaca,40,perceptual,10
4,28,F,silencioso,40,perceptual,10
4,28,F,siesta,40,perceptual,10
4,28,F,dormitar,40,perceptual,10
4,28,F,pensionado,40,perceptual,8
4,28,F,paz,40,perceptual,10
4,28,F,relajarse,40,perceptual,10
4,28,F,colchon,40,perceptual,10
5,27,M,violacion,1,emotional,7
5,27,M,norma,1,emotional,10
5,27,M,ley,1,emotional,10
5,27,M,legislacion,1,emotional,10
5,27,M,cumplimiento,1,emotional,9
5,27,M,regla,1,emotional,9
5,27,M,consenso,1,emotional,8
5,27,M,instrucci—n,1,emotional,6
5,27,M,contrato,1,emotional,8
5,27,M,permiso,1,emotional,8
5,27,M,resolucion,1,emotional,2
5,27,M,declaracion,1,emotional,8
5,27,M,pauta,1,emotional,4
5,27,M,decision,1,emotional,6
5,27,M,nazi,2,emotional,0
5,27,M,nacionalidad,2,emotional,10
5,27,M,cultura,2,emotional,10
5,27,M,visitante,2,emotional,7
5,27,M,natal,2,emotional,9
5,27,M,idioma,2,emotional,8
5,27,M,originario,2,emotional,9
5,27,M,extranjero,2,emotional,7
5,27,M,inmigracion,2,emotional,6
5,27,M,pasaporte,2,emotional,10
5,27,M,patriotismo,2,emotional,9
5,27,M,viaje,2,emotional,0
5,27,M,lugareno,2,emotional,10
5,27,M,visado,2,emotional,10
5,27,M,sufrimiento,3,emotional,2
5,27,M,sensibilidad,3,emotional,8
5,27,M,palma,3,emotional,8
5,27,M,terciopelo,3,emotional,0
5,27,M,vibracion,3,emotional,5
5,27,M,dedo,3,emotional,8
5,27,M,piel,3,emotional,9
5,27,M,cuerpo,3,emotional,8
5,27,M,nervio,3,emotional,5
5,27,M,sensacion,3,emotional,10
5,27,M,roce,3,emotional,9
5,27,M,superficie,3,emotional,7
5,27,M,contacto,3,emotional,9
5,27,M,textura,3,emotional,8
5,27,M,asesino,4,emotional,2
5,27,M,ocupacion,4,emotional,9
5,27,M,profesion,4,emotional,10
5,27,M,actor,4,emotional,8
5,27,M,quimico,4,emotional,8
5,27,M,vocacion,4,emotional,7
5,27,M,abogado,4,emotional,10
5,27,M,contable,4,emotional,9
5,27,M,banquero,4,emotional,10
5,27,M,empleo,4,emotional,10
5,27,M,aprendiz,4,emotional,7
5,27,M,ingeniero,4,emotional,10
5,27,M,trabajo,4,emotional,10
5,27,M,fisico,4,emotional,8
5,27,M,asfixia,5,emotional,8
5,27,M,oxigeno,5,emotional,10
5,27,M,respiracion,5,emotional,10
5,27,M,nariz,5,emotional,10
5,27,M,viento,5,emotional,3
5,27,M,inhalacion,5,emotional,9
5,27,M,pulmon,5,emotional,10
5,27,M,soplo,5,emotional,7
5,27,M,vapor,5,emotional,3
5,27,M,ventilacion,5,emotional,10
5,27,M,brisa,5,emotional,3
5,27,M,branquias,5,emotional,9
5,27,M,aire,5,emotional,10
5,27,M,boca,5,emotional,10
5,27,M,crimen,6,emotional,10
5,27,M,libro,6,emotional,10
5,27,M,editor,6,emotional,6
5,27,M,protagonista,6,emotional,9
5,27,M,historia,6,emotional,8
5,27,M,novela,6,emotional,9
5,27,M,capitulo,6,emotional,9
5,27,M,texto,6,emotional,8
5,27,M,biografia,6,emotional,4
5,27,M,continuacion,6,emotional,0
5,27,M,ficcion,6,emotional,6
5,27,M,cuento,6,emotional,7
5,27,M,trama,6,emotional,10
5,27,M,autor,6,emotional,10
5,27,M,cancer,7,emotional,0
5,27,M,dia,7,emotional,8
5,27,M,estrella,7,emotional,9
5,27,M,luz,7,emotional,10
5,27,M,energia,7,emotional,9
5,27,M,chispa,7,emotional,2
5,27,M,esplendor,7,emotional,7
5,27,M,reflectante,7,emotional,2
5,27,M,destello,7,emotional,10
5,27,M,eclipse,7,emotional,10
5,27,M,sol,7,emotional,10
5,27,M,solarium,7,emotional,2
5,27,M,luminoso,7,emotional,10
5,27,M,amanecer,7,emotional,9
5,27,M,masacre,8,emotional,0
5,27,M,gente,8,emotional,10
5,27,M,asamblea,8,emotional,6
5,27,M,grupo,8,emotional,9
5,27,M,congreso,8,emotional,7
5,27,M,dialogo,8,emotional,5
5,27,M,comunidad,8,emotional,10
5,27,M,concentracion,8,emotional,10
5,27,M,asociacion,8,emotional,10
5,27,M,congregacion,8,emotional,10
5,27,M,concurrencia,8,emotional,8
5,27,M,reunion,8,emotional,10
5,27,M,simposio,8,emotional,10
5,27,M,invitados,8,emotional,10
5,27,M,terrorista,9,emotional,4
5,27,M,publico,9,emotional,9
5,27,M,terminal,9,emotional,9
5,27,M,concierto,9,emotional,9
5,27,M,trafico,9,emotional,5
5,27,M,teatro,9,emotional,8
5,27,M,estadio,9,emotional,9
5,27,M,aeropuerto,9,emotional,9
5,27,M,estacion,9,emotional,9
5,27,M,metro,9,emotional,9
5,27,M,avion,9,emotional,9
5,27,M,encuentro,9,emotional,9
5,27,M,festival,9,emotional,9
5,27,M,pasajero,9,emotional,8
5,27,M,suicida,10,emotional,7
5,27,M,altura,10,emotional,10
5,27,M,torre,10,emotional,10
5,27,M,brinco,10,emotional,7
5,27,M,balcon,10,emotional,10
5,27,M,andamio,10,emotional,0
5,27,M,ventana,10,emotional,10
5,27,M,tejado,10,emotional,10
5,27,M,edificio,10,emotional,10
5,27,M,altillo,10,emotional,2
5,27,M,cima,10,emotional,10
5,27,M,bajada,10,emotional,2
5,27,M,puente,10,emotional,0
5,27,M,rascacielos,10,emotional,10
5,27,M,ceguera,11,emotional,10
5,27,M,vision,11,emotional,10
5,27,M,lupa,11,emotional,6
5,27,M,fotografia,11,emotional,10
5,27,M,cine,11,emotional,4
5,27,M,vista,11,emotional,10
5,27,M,ojo,11,emotional,10
5,27,M,panorama,11,emotional,3
5,27,M,video,11,emotional,4
5,27,M,escena,11,emotional,5
5,27,M,observador,11,emotional,8
5,27,M,optica,11,emotional,9
5,27,M,ojeada,11,emotional,6
5,27,M,mirada,11,emotional,8
5,27,M,ahogado,12,emotional,1
5,27,M,agua,12,emotional,10
5,27,M,ferri,12,emotional,4
5,27,M,piscina,12,emotional,2
5,27,M,nadador,12,emotional,5
5,27,M,lago,12,emotional,9
5,27,M,arroyo,12,emotional,7
5,27,M,costa,12,emotional,6
5,27,M,rio,12,emotional,8
5,27,M,canal,12,emotional,7
5,27,M,cauce,12,emotional,7
5,27,M,lancha,12,emotional,5
5,27,M,mar,12,emotional,8
5,27,M,estanque,12,emotional,9
5,27,M,morgue,13,emotional,0
5,27,M,deposito,13,emotional,7
5,27,M,baul,13,emotional,0
5,27,M,armario,13,emotional,7
5,27,M,consigna,13,emotional,1
5,27,M,nevera,13,emotional,9
5,27,M,casillero,13,emotional,0
5,27,M,envase,13,emotional,10
5,27,M,almacen,13,emotional,6
5,27,M,contenedor,13,emotional,9
5,27,M,caja,13,emotional,10
5,27,M,bote,13,emotional,10
5,27,M,trastero,13,emotional,7
5,27,M,cajon,13,emotional,9
5,27,M,hambruna,14,emotional,4
5,27,M,alimento,14,emotional,8
5,27,M,restaurante,14,emotional,7
5,27,M,cena,14,emotional,10
5,27,M,cocinero,14,emotional,3
5,27,M,sopa,14,emotional,9
5,27,M,comida,14,emotional,10
5,27,M,almuerzo,14,emotional,10
5,27,M,merienda,14,emotional,10
5,27,M,cocina,14,emotional,9
5,27,M,desayuno,14,emotional,10
5,27,M,despensa,14,emotional,7
5,27,M,buffet,14,emotional,3
5,27,M,bocata,14,emotional,4
5,27,M,amputacion,15,emotional,4
5,27,M,extremidad,15,emotional,10
5,27,M,hombro,15,emotional,10
5,27,M,mano,15,emotional,10
5,27,M,cadera,15,emotional,8
5,27,M,muneca,15,emotional,8
5,27,M,articulacion,15,emotional,10
5,27,M,pantorrilla,15,emotional,5
5,27,M,pierna,15,emotional,10
5,27,M,nudillo,15,emotional,6
5,27,M,brazo,15,emotional,10
5,27,M,codo,15,emotional,9
5,27,M,tobillo,15,emotional,10
5,27,M,muslo,15,emotional,8
5,27,M,sida,16,emotional,0
5,27,M,transmission,16,emotional,8
5,27,M,emissor,16,emotional,8
5,27,M,senal,16,emotional,6
5,27,M,comunicaci—n,16,emotional,9
5,27,M,intercambio,16,emotional,6
5,27,M,importacion,16,emotional,4
5,27,M,transferencia,16,emotional,6
5,27,M,mensaje,16,emotional,8
5,27,M,fuente,16,emotional,4
5,27,M,correo,16,emotional,8
5,27,M,transaccion,16,emotional,7
5,27,M,receptor,16,emotional,8
5,27,M,destinatario,16,emotional,8
5,27,M,paraplejico,17,emotional,3
5,27,M,deporte,17,emotional,9
5,27,M,caminata,17,emotional,7
5,27,M,ejercicio,17,emotional,9
5,27,M,alpinista,17,emotional,9
5,27,M,carrera,17,emotional,8
5,27,M,entrenador,17,emotional,6
5,27,M,atleta,17,emotional,8
5,27,M,mantenimiento,17,emotional,3
5,27,M,corredor,17,emotional,8
5,27,M,ciclista,17,emotional,7
5,27,M,movimiento,17,emotional,8
5,27,M,gimnasio,17,emotional,3
5,27,M,aerobic,17,emotional,4
5,27,M,plaga,18,emotional,2
5,27,M,vida,18,emotional,10
5,27,M,criatura,18,emotional,6
5,27,M,naturaleza,18,emotional,10
5,27,M,universo,18,emotional,5
5,27,M,humanidad,18,emotional,3
5,27,M,evolucion,18,emotional,3
5,27,M,campo,18,emotional,10
5,27,M,paisaje,18,emotional,10
5,27,M,animal,18,emotional,10
5,27,M,atmosfera,18,emotional,2
5,27,M,planeta,18,emotional,10
5,27,M,ambiente,18,emotional,10
5,27,M,crecimiento,18,emotional,10
5,27,M,traidor,19,emotional,5
5,27,M,persona,19,emotional,10
5,27,M,relacion,19,emotional,10
5,27,M,acompanante,19,emotional,10
5,27,M,socio,19,emotional,7
5,27,M,individuo,19,emotional,6
5,27,M,ser,19,emotional,0
5,27,M,hombre,19,emotional,0
5,27,M,dama,19,emotional,0
5,27,M,tipo,19,emotional,0
5,27,M,colega,19,emotional,9
5,27,M,mujer,19,emotional,9
5,27,M,companero,19,emotional,9
5,27,M,sujeto,19,emotional,7
5,27,M,tumor,20,emotional,0
5,27,M,cerebro,20,emotional,10
5,27,M,meditacion,20,emotional,8
5,27,M,pensamiento,20,emotional,10
5,27,M,mente,20,emotional,10
5,27,M,inteligencia,20,emotional,10
5,27,M,creatividad,20,emotional,10
5,27,M,ingenio,20,emotional,9
5,27,M,neurona,20,emotional,8
5,27,M,razon,20,emotional,10
5,27,M,imaginacion,20,emotional,10
5,27,M,filosofia,20,emotional,8
5,27,M,craneo,20,emotional,5
5,27,M,cabeza,20,emotional,9
5,27,M,tierra,21,perceptual,9
5,27,M,bosque,21,perceptual,3
5,27,M,jardinero,21,perceptual,9
5,27,M,gravilla,21,perceptual,9
5,27,M,piedra,21,perceptual,6
5,27,M,arbol,21,perceptual,8
5,27,M,raiz,21,perceptual,7
5,27,M,roca,21,perceptual,5
5,27,M,pala,21,perceptual,8
5,27,M,monticulo,21,perceptual,5
5,27,M,parcela,21,perceptual,10
5,27,M,terreno,21,perceptual,10
5,27,M,fertilizante,21,perceptual,9
5,27,M,suelo,21,perceptual,9
5,27,M,futbol,22,perceptual,10
5,27,M,tecnico,22,perceptual,10
5,27,M,juego,22,perceptual,10
5,27,M,portero,22,perceptual,10
5,27,M,jugador,22,perceptual,10
5,27,M,hincha,22,perceptual,7
5,27,M,aficion,22,perceptual,10
5,27,M,defensa,22,perceptual,7
5,27,M,porteria,22,perceptual,9
5,27,M,pelota,22,perceptual,10
5,27,M,uniforme,22,perceptual,4
5,27,M,torneo,22,perceptual,10
5,27,M,coliseo,22,perceptual,1
5,27,M,tribuna,22,perceptual,7
5,27,M,invierno,23,perceptual,10
5,27,M,trineo,23,perceptual,6
5,27,M,glacial,23,perceptual,8
5,27,M,tabla,23,perceptual,9
5,27,M,pista,23,perceptual,9
5,27,M,hielo,23,perceptual,6
5,27,M,gorro,23,perceptual,10
5,27,M,gafas,23,perceptual,9
5,27,M,abrigo,23,perceptual,8
5,27,M,frio,23,perceptual,10
5,27,M,nieve,23,perceptual,10
5,27,M,esquiador,23,perceptual,10
5,27,M,motana,23,perceptual,10
5,27,M,bajada_w2,23,perceptual,10
5,27,M,bucal,24,perceptual,10
5,27,M,dentista,24,perceptual,10
5,27,M,hilo,24,perceptual,9
5,27,M,fluoruro,24,perceptual,3
5,27,M,molar,24,perceptual,8
5,27,M,chicle,24,perceptual,6
5,27,M,oral,24,perceptual,10
5,27,M,cepillo,24,perceptual,10
5,27,M,paladar,24,perceptual,7
5,27,M,saliva,24,perceptual,8
5,27,M,diente,24,perceptual,10
5,27,M,mandibula,24,perceptual,9
