enc_pos,rec_pos,list_type,subject,item
8,,perceptual,22,control
13,8,emotional,22,control
12,10,emotional,22,control
13,,emotional,22,control
13,,emotional,22,control
13,9,perceptual,22,control
7,6,emotional,22,control
13,,perceptual,22,control
7,6,perceptual,22,control
13,8,perceptual,22,control
12,4,emotional,22,control
13,4,emotional,23,control
11,5,emotional,23,control
13,,emotional,23,control
13,3,perceptual,23,control
7,7,emotional,23,control
7,,perceptual,23,control
11,6,emotional,23,control
13,9,perceptual,23,control
13,3,perceptual,23,control
13,,perceptual,23,control
12,,emotional,23,control
11,2,emotional,23,control
7,,emotional,23,control
12,7,emotional,23,control
11,14,emotional,23,control
7,,perceptual,23,control
8,,emotional,23,control
13,,emotional,23,control
7,,emotional,23,control
7,,perceptual,23,control
13,,perceptual,23,control
12,,emotional,23,control
13,,emotional,23,control
12,,perceptual,23,control
12,,emotional,23,control
12,,perceptual,23,control
12,,emotional,23,control
13,,perceptual,23,control
12,,perceptual,23,control
11,,emotional,23,control
13,,perceptual,23,control
13,,perceptual,23,control
13,,perceptual,23,control
8,,perceptual,23,control
13,,perceptual,23,control
11,,perceptual,23,control
13,,perceptual,23,control
8,,emotional,23,control
13,,perceptual,23,control
13,,emotional,23,control
13,7,perceptual,24,control
11,3,emotional,24,control
7,4,perceptual,24,control
8,,emotional,24,control
7,,perceptual,24,control
12,7,emotional,24,control
12,2,emotional,24,control
7,9,emotional,24,control
11,,emotional,24,control
12,,emotional,24,control
8,,perceptual,24,control
7,,perceptual,24,control
7,7,emotional,24,control
13,1,perceptual,24,control
13,,perceptual,24,control
13,1,perceptual,24,control
7,,emotional,24,control
7,,emotional,24,control
13,7,perceptual,24,control
11,1,emotional,24,control
12,,emotional,24,control
7,6,perceptual,24,control
7,,emotional,24,control
12,,emotional,24,control
13,,emotional,24,control
7,,emotional,24,control
7,1,perceptual,24,control
11,,perceptual,24,control
12,,perceptual,24,control
11,1,perceptual,24,control
7,,perceptual,24,control
7,10,perceptual,24,control
7,,emotional,24,control
13,,perceptual,24,control
13,,perceptual,24,control
7,,perceptual,24,control
7,,emotional,24,control
13,,emotional,24,control
8,,emotional,24,control
7,,perceptual,24,control
7,,perceptual,25,control
13,,perceptual,25,control
7,,perceptual,25,control
12,,emotional,25,control
12,,emotional,25,control
11,5,perceptual,25,control
7,,perceptual,25,control
8,1,emotional,25,control
13,,emotional,25,control
13,3,emotional,25,control
12,,perceptual,25,control
7,5,emotional,25,control
7,10,perceptual,25,control
7,,emotional,25,control
11,5,perceptual,25,control
13,1,emotional,25,control
12,,emotional,25,control
7,4,emotional,25,control
13,,emotional,25,control
13,,perceptual,25,control
12,1,perceptual,25,control
7,6,emotional,25,control
13,,emotional,25,control
13,3,perceptual,25,control
13,,perceptual,25,control
13,,emotional,25,control
,,,,control
12,7,emotional,25,control
7,,emotional,25,control
13,,emotional,25,control
11,3,perceptual,25,control
13,,emotional,25,control
12,5,emotional,25,control
12,,perceptual,25,control
13,6,perceptual,25,control
13,2,perceptual,25,control
12,5,emotional,25,control
11,,perceptual,25,control
8,,perceptual,25,control
7,3,perceptual,25,control
13,,emotional,26,control
11,,emotional,26,control
12,,emotional,26,control
7,,emotional,26,control
13,7,emotional,26,control
12,,emotional,26,control
8,4,perceptual,26,control
8,3,emotional,26,control
8,8,perceptual,26,control
7,,perceptual,26,control
11,10,perceptual,26,control
13,,perceptual,26,control
8,2,perceptual,26,control
8,,emotional,26,control
13,5,emotional,26,control
12,7,emotional,26,control
7,1,perceptual,26,control
13,4,perceptual,26,control
13,,emotional,26,control
7,,perceptual,26,control
12,3,emotional,26,control
13,,emotional,26,control
13,,perceptual,26,control
13,3,emotional,26,control
13,1,emotional,26,control
12,,emotional,26,control
7,,perceptual,26,control
13,,emotional,26,control
12,6,perceptual,26,control
13,4,perceptual,26,control
11,3,perceptual,26,control
13,4,perceptual,26,control
12,,emotional,26,control
11,6,perceptual,26,control
7,,emotional,26,control
11,,perceptual,26,control
13,,perceptual,26,control
7,9,perceptual,26,control
12,,perceptual,26,control
7,,emotional,26,control
13,,perceptual,27,control
11,5,emotional,27,control
13,,perceptual,27,control
8,2,emotional,27,control
12,7,perceptual,27,control
8,,perceptual,27,control
13,,perceptual,27,control
8,,perceptual,27,control
7,4,emotional,27,control
13,,emotional,27,control
13,,emotional,27,control
12,8,emotional,27,control
7,11,emotional,27,control
12,7,emotional,27,control
7,,emotional,27,control
11,,perceptual,27,control
7,,emotional,27,control
13,3,perceptual,27,control
13,,emotional,27,control
12,2,emotional,27,control
8,6,emotional,27,control
12,10,perceptual,27,control
13,,perceptual,27,control
12,,perceptual,27,control
8,3,perceptual,27,control
12,,emotional,27,control
13,,emotional,27,control
13,11,perceptual,27,control
7,1,emotional,27,control
7,,emotional,27,control
13,4,perceptual,27,control
7,,emotional,27,control
13,11,perceptual,27,control
11,,perceptual,27,control
11,,perceptual,27,control
13,,emotional,27,control
13,,perceptual,27,control
12,,emotional,27,control
11,,perceptual,27,control
11,,perceptual,27,control
7,,emotional,28,control
13,6,perceptual,28,control
12,3,perceptual,28,control
7,,emotional,28,control
12,,emotional,28,control
11,6,emotional,28,control
11,,emotional,28,control
8,5,perceptual,28,control
7,,emotional,28,control
12,,perceptual,28,control
13,5,perceptual,28,control
11,4,emotional,28,control
13,,emotional,28,control
13,,perceptual,28,control
12,6,perceptual,28,control
13,2,perceptual,28,control
12,,emotional,28,control
11,6,perceptual,28,control
12,7,emotional,28,control
7,7,emotional,28,control
12,4,perceptual,28,control
7,,emotional,28,control
13,2,emotional,28,control
13,2,perceptual,28,control
13,,emotional,28,control
13,4,emotional,28,control
12,,perceptual,28,control
13,8,emotional,28,control
7,,perceptual,28,control
13,2,emotional,28,control
8,2,perceptual,28,control
12,4,perceptual,28,control
13,,perceptual,28,control
7,,perceptual,28,control
12,1,emotional,28,control
13,1,perceptual,28,control
13,4,emotional,28,control
8,,perceptual,28,control
7,6,perceptual,28,control
12,,emotional,28,control
7,,emotional,29,control
12,,emotional,29,control
12,,perceptual,29,control
11,,emotional,29,control
13,,perceptual,29,control
8,5,perceptual,29,control
13,6,emotional,29,control
7,,perceptual,29,control
7,4,perceptual,29,control
13,,perceptual,29,control
11,10,perceptual,29,control
13,4,perceptual,29,control
12,,emotional,29,control
7,6,emotional,29,control
7,,emotional,29,control
13,,emotional,29,control
12,3,emotional,29,control
13,6,emotional,29,control
7,,emotional,29,control
13,,perceptual,29,control
7,5,emotional,29,control
11,4,perceptual,29,control
7,,emotional,29,control
8,3,emotional,29,control
7,,emotional,29,control
11,,emotional,29,control
7,,emotional,29,control
7,,emotional,29,control
12,,emotional,29,control
13,8,perceptual,29,control
7,6,perceptual,29,control
12,4,perceptual,29,control
7,,perceptual,29,control
7,,perceptual,29,control
8,,perceptual,29,control
7,,perceptual,29,control
7,,perceptual,29,control
11,,perceptual,29,control
8,,perceptual,29,control
8,,emotional,29,control
12,,emotional,30,control
12,2,emotional,30,control
13,2,perceptual,30,control
11,,perceptual,30,control
13,4,perceptual,30,control
13,4,emotional,30,control
11,3,emotional,30,control
7,2,emotional,30,control
12,,perceptual,30,control
13,,emotional,30,control
11,7,emotional,30,control
8,,perceptual,30,control
8,,emotional,30,control
12,,emotional,30,control
8,5,perceptual,30,control
7,3,emotional,30,control
13,,perceptual,30,control
11,,perceptual,30,control
11,4,perceptual,30,control
7,,perceptual,30,control
13,3,emotional,30,control
11,,perceptual,30,control
11,,emotional,30,control
7,8,perceptual,30,control
13,2,perceptual,30,control
11,6,perceptual,30,control
12,,emotional,30,control
7,6,perceptual,30,control
11,5,perceptual,30,control
7,3,emotional,30,control
11,,emotional,30,control
12,,perceptual,30,control
13,4,perceptual,30,control
7,3,emotional,30,control
12,,emotional,30,control
11,,perceptual,30,control
12,,emotional,30,control
13,,emotional,30,control
12,,emotional,30,control
12,,perceptual,30,control
8,,perceptual,31,control
7,,perceptual,31,control
12,,emotional,31,control
12,4,emotional,31,control
7,,emotional,31,control
7,,perceptual,31,control
12,,emotional,31,control
7,,perceptual,31,control
11,3,perceptual,31,control
8,2,emotional,31,control
12,1,perceptual,31,control
12,,perceptual,31,control
12,8,emotional,31,control
13,,perceptual,31,control
8,3,emotional,31,control
13,6,perceptual,31,control
12,11,emotional,31,control
12,,emotional,31,control
11,10,emotional,31,control
8,10,emotional,31,control
13,2,emotional,31,control
8,12,perceptual,31,control
11,7,emotional,31,control
12,,perceptual,31,control
8,3,perceptual,31,control
13,10,perceptual,31,control
8,,perceptual,31,control
7,9,emotional,31,control
8,2,perceptual,31,control
8,7,perceptual,31,control
12,,perceptual,31,control
8,,emotional,31,control
13,3,emotional,31,control
13,5,perceptual,31,control
13,7,perceptual,31,control
12,7,emotional,31,control
7,,perceptual,31,control
11,,emotional,31,control
11,,emotional,31,control
13,,emotional,31,control
7,,emotional,32,control
7,,emotional,32,control
13,2,emotional,32,control
13,6,perceptual,32,control
7,,emotional,32,control
13,4,perceptual,32,control
7,2,perceptual,32,control
13,,perceptual,32,control
12,,perceptual,32,control
13,6,emotional,32,control
13,,emotional,32,control
13,,perceptual,32,control
12,5,emotional,32,control
11,,emotional,32,control
12,,perceptual,32,control
11,,emotional,32,control
11,8,emotional,32,control
13,9,perceptual,32,control
7,,perceptual,32,control
12,2,perceptual,32,control
13,4,perceptual,32,control
13,,emotional,32,control
7,,perceptual,32,control
13,,emotional,32,control
13,8,emotional,32,control
13,1,emotional,32,control
12,8,perceptual,32,control
13,,perceptual,32,control
8,,perceptual,32,control
11,,perceptual,32,control
11,9,perceptual,32,control
7,2,perceptual,32,control
13,6,perceptual,32,control
11,,emotional,32,control
7,10,emotional,32,control
12,5,emotional,32,control
13,5,emotional,32,control
7,4,emotional,32,control
12,6,perceptual,32,control
12,10,emotional,32,control
11,3,perceptual,33,control
7,7,emotional,33,control
,,,,control
13,,perceptual,33,control
13,,perceptual,33,control
7,,perceptual,33,control
13,,emotional,33,control
13,,emotional,33,control
12,7,perceptual,33,control
13,,emotional,33,control
13,1,emotional,33,control
13,5,perceptual,33,control
12,,emotional,33,control
7,4,perceptual,33,control
12,8,emotional,33,control
8,,emotional,33,control
7,1,perceptual,33,control
12,3,emotional,33,control
13,,emotional,33,control
7,1,perceptual,33,control
13,7,perceptual,33,control
8,,emotional,33,control
12,,emotional,33,control
13,,emotional,33,control
8,3,perceptual,33,control
8,6,emotional,33,control
