enc_pos,rec_pos,list_type,subject,item
12,5,perceptual,12,oddball
8,6,perceptual,12,oddball
12,5,perceptual,12,oddball
12,1,perceptual,12,oddball
8,8,emotional,12,oddball
12,3,emotional,12,oddball
8,,emotional,14,oddball
12,6,emotional,14,oddball
8,4,emotional,14,oddball
9,,emotional,14,oddball
8,9,perceptual,14,oddball
8,8,emotional,14,oddball
12,6,perceptual,14,oddball
8,3,perceptual,14,oddball
7,7,emotional,14,oddball
7,4,perceptual,14,oddball
7,11,perceptual,14,oddball
9,4,emotional,14,oddball
7,4,perceptual,14,oddball
7,,emotional,14,oddball
12,7,emotional,14,oddball
11,6,emotional,14,oddball
12,,perceptual,14,oddball
7,9,emotional,14,oddball
12,4,emotional,14,oddball
12,7,emotional,14,oddball
12,,emotional,14,oddball
8,7,emotional,14,oddball
12,2,perceptual,14,oddball
8,1,perceptual,14,oddball
12,,emotional,14,oddball
9,1,perceptual,14,oddball
12,4,emotional,14,oddball
7,5,perceptual,14,oddball
7,,perceptual,14,oddball
8,5,emotional,14,oddball
8,5,perceptual,14,oddball
7,,perceptual,14,oddball
9,4,perceptual,14,oddball
7,5,perceptual,14,oddball
8,,perceptual,14,oddball
8,6,emotional,14,oddball
8,,perceptual,14,oddball
7,3,emotional,14,oddball
12,,perceptual,14,oddball
8,5,perceptual,14,oddball
12,1,perceptual,15,oddball
7,6,perceptual,15,oddball
8,1,emotional,15,oddball
12,5,perceptual,15,oddball
12,6,emotional,15,oddball
8,8,emotional,15,oddball
9,9,perceptual,15,oddball
7,,emotional,15,oddball
7,7,perceptual,15,oddball
11,9,emotional,15,oddball
11,6,emotional,15,oddball
12,,perceptual,15,oddball
7,,perceptual,15,oddball
7,2,emotional,15,oddball
12,5,perceptual,15,oddball
12,7,emotional,15,oddball
8,4,emotional,15,oddball
11,5,perceptual,15,oddball
11,4,emotional,15,oddball
9,,emotional,15,oddball
12,1,perceptual,15,oddball
7,6,emotional,15,oddball
7,,perceptual,15,oddball
7,,perceptual,15,oddball
12,,emotional,15,oddball
7,6,emotional,15,oddball
12,7,perceptual,15,oddball
12,,perceptual,15,oddball
8,4,perceptual,15,oddball
7,4,emotional,15,oddball
12,1,perceptual,15,oddball
8,,emotional,15,oddball
8,,perceptual,15,oddball
7,4,perceptual,15,oddball
8,7,emotional,15,oddball
11,,perceptual,15,oddball
9,8,emotional,15,oddball
7,3,emotional,15,oddball
7,3,emotional,15,oddball
7,1,perceptual,15,oddball
7,,emotional,16,oddball
8,,perceptual,16,oddball
11,6,emotional,16,oddball
7,,emotional,16,oddball
12,,emotional,16,oddball
12,,emotional,16,oddball
,,,,oddball
8,8,emotional,16,oddball
8,6,emotional,16,oddball
7,6,emotional,16,oddball
11,,perceptual,16,oddball
12,7,emotional,16,oddball
8,,perceptual,16,oddball
7,4,emotional,16,oddball
7,9,perceptual,16,oddball
8,1,perceptual,16,oddball
7,6,perceptual,16,oddball
8,3,emotional,16,oddball
7,8,perceptual,16,oddball
8,,perceptual,16,oddball
12,7,perceptual,16,oddball
7,,perceptual,16,oddball
7,6,emotional,16,oddball
8,6,emotional,16,oddball
9,,perceptual,16,oddball
7,4,emotional,16,oddball
9,8,perceptual,16,oddball
7,,perceptual,16,oddball
8,,perceptual,16,oddball
7,,emotional,16,oddball
12,,emotional,16,oddball
7,6,emotional,16,oddball
9,5,perceptual,16,oddball
12,2,perceptual,16,oddball
9,3,perceptual,16,oddball
12,7,emotional,16,oddball
7,,perceptual,16,oddball
8,,emotional,16,oddball
12,,emotional,16,oddball
8,,perceptual,16,oddball
11,1,perceptual,17,oddball
11,2,perceptual,17,oddball
