subject,age,gender,word,salience,list,rating 
9,35,M,gimnasio,neutral,17,3
9,35,M,aerobic,neutral,17,5
9,35,M,plaga,eodd,18,-6
9,35,M,vida,neutral,18,5
9,35,M,criatura,neutral,18,1
9,35,M,naturaleza,neutral,18,6
9,35,M,universo,neutral,18,6
9,35,M,humanidad,neutral,18,6
9,35,M,evolucion,neutral,18,5
9,35,M,campo,neutral,18,6
9,35,M,paisaje,neutral,18,5
9,35,M,animal,neutral,18,4
9,35,M,atmosfera,neutral,18,6
9,35,M,planeta,neutral,18,6
9,35,M,ambiente,neutral,18,4
9,35,M,crecimiento,neutral,18,6
9,35,M,traidor,eodd,19,3
9,35,M,persona,neutral,19,4
9,35,M,relacion,neutral,19,5
9,35,M,acompanante,neutral,19,2
9,35,M,socio,neutral,19,5
9,35,M,individuo,neutral,19,2
9,35,M,ser,neutral,19,6
9,35,M,hombre,neutral,19,1
9,35,M,dama,neutral,19,6
9,35,M,tipo,neutral,19,5
9,35,M,colega,neutral,19,6
9,35,M,mujer,neutral,19,6
9,35,M,companero,neutral,19,5
9,35,M,sujeto,neutral,19,1
9,35,M,tumor,eodd,20,-6
9,35,M,cerebro,neutral,20,4
9,35,M,meditacion,neutral,20,4
9,35,M,pensamiento,neutral,20,5
9,35,M,mente,neutral,20,3
9,35,M,inteligencia,neutral,20,5
9,35,M,creatividad,neutral,20,6
9,35,M,ingenio,neutral,20,6
9,35,M,neurona,neutral,20,5
9,35,M,razon,neutral,20,1
9,35,M,imaginacion,neutral,20,4
9,35,M,filosofia,neutral,20,-1
9,35,M,craneo,neutral,20,2
9,35,M,cabeza,neutral,20,3
9,35,M,tierra,neutral,21,6
9,35,M,bosque,neutral,21,6
9,35,M,jardinero,neutral,21,3
9,35,M,gravilla,neutral,21,2
9,35,M,piedra,neutral,21,3
9,35,M,arbol,neutral,21,4
9,35,M,raiz,neutral,21,4
9,35,M,roca,neutral,21,3
9,35,M,pala,neutral,21,4
9,35,M,monticulo,neutral,21,2
9,35,M,parcela,neutral,21,5
9,35,M,terreno,neutral,21,5
9,35,M,fertilizante,neutral,21,4
9,35,M,suelo,neutral,21,3
9,35,M,futbol,neutral,22,3
9,35,M,tecnico,neutral,22,3
9,35,M,juego,neutral,22,3
9,35,M,portero,neutral,22,3
9,35,M,jugador,neutral,22,2
9,35,M,hincha,neutral,22,2
9,35,M,aficion,neutral,22,3
9,35,M,defensa,neutral,22,2
9,35,M,porteria,neutral,22,3
9,35,M,pelota,neutral,22,4
9,35,M,uniforme,neutral,22,1
9,35,M,torneo,neutral,22,2
9,35,M,coliseo,neutral,22,6
9,35,M,tribuna,neutral,22,5
9,35,M,invierno,neutral,23,2
9,35,M,trineo,neutral,23,4
9,35,M,glacial,neutral,23,3
9,35,M,tabla,neutral,23,2
9,35,M,pista,neutral,23,2
9,35,M,hielo,neutral,23,3
9,35,M,gorro,neutral,23,2
9,35,M,gafas,neutral,23,3
9,35,M,abrigo,neutral,23,3
9,35,M,frio,neutral,23,2
9,35,M,nieve,neutral,23,3
9,35,M,esquiador,neutral,23,1
9,35,M,motana,neutral,23,3
9,35,M,bajada_w2,neutral,23,2
9,35,M,bucal,neutral,24,2
