subject,oddballtype,transition,direction,wordposition,CRP
7,highrec,to,Backwards,1,0
9,highrec,to,Backwards,1,0
10,highrec,to,Backwards,1,0.5
11,highrec,to,Backwards,1,0.5
12,highrec,to,Backwards,1,NaN
14,highrec,to,Backwards,1,0
15,highrec,to,Backwards,1,0
16,highrec,to,Backwards,1,0.666666666666667
17,highrec,to,Backwards,1,0.5
18,highrec,to,Backwards,1,0.2
19,highrec,to,Backwards,1,0
20,highrec,to,Backwards,1,NaN
21,highrec,to,Backwards,1,0
22,highrec,to,Backwards,1,0
23,highrec,to,Backwards,1,0.5
24,highrec,to,Backwards,1,0
25,highrec,to,Backwards,1,0.5
26,highrec,to,Backwards,1,NaN
27,highrec,to,Backwards,1,0.25
28,highrec,to,Backwards,1,NaN
29,highrec,to,Backwards,1,1
30,highrec,to,Backwards,1,NaN
31,highrec,to,Backwards,1,0.5
32,highrec,to,Backwards,1,0.333333333333333
33,highrec,to,Backwards,1,1
34,highrec,to,Backwards,1,0.5
35,highrec,to,Backwards,1,0
36,highrec,to,Backwards,1,NaN
37,highrec,to,Backwards,1,0
38,highrec,to,Backwards,1,1
39,highrec,to,Backwards,1,0.25
40,highrec,to,Backwards,1,0.25
41,highrec,to,Backwards,1,0
42,highrec,to,Backwards,1,0
43,highrec,to,Backwards,1,0
44,highrec,to,Backwards,1,NaN
45,highrec,to,Backwards,1,0.333333333333333
46,highrec,to,Backwards,1,NaN
47,highrec,to,Backwards,1,0.666666666666667
48,highrec,to,Backwards,1,0.333333333333333
49,highrec,to,Backwards,1,0
50,highrec,to,Backwards,1,1
51,highrec,to,Backwards,1,0.5
52,highrec,to,Backwards,1,0
53,highrec,to,Backwards,1,0
54,highrec,to,Backwards,1,0
55,highrec,to,Backwards,1,0.333333333333333
56,highrec,to,Backwards,1,0
57,highrec,to,Backwards,1,0
58,highrec,to,Backwards,1,1
59,highrec,to,Backwards,1,0.75
60,highrec,to,Backwards,1,NaN
61,highrec,to,Backwards,1,NaN
