subject,oddballtype,transition,direction,wordposition,CRP
20,amn,to,Backwards,2,NaN
21,amn,to,Backwards,2,0
22,amn,to,Backwards,2,0
23,amn,to,Backwards,2,0.333333333333333
24,amn,to,Backwards,2,0
25,amn,to,Backwards,2,NaN
26,amn,to,Backwards,2,0
27,amn,to,Backwards,2,0.5
28,amn,to,Backwards,2,0
29,amn,to,Backwards,2,0.5
30,amn,to,Backwards,2,0
31,amn,to,Backwards,2,NaN
32,amn,to,Backwards,2,NaN
33,amn,to,Backwards,2,NaN
34,amn,to,Backwards,2,0.666666666666667
35,amn,to,Backwards,2,0
36,amn,to,Backwards,2,0
37,amn,to,Backwards,2,0
38,amn,to,Backwards,2,1
39,amn,to,Backwards,2,0
40,amn,to,Backwards,2,NaN
41,amn,to,Backwards,2,NaN
42,amn,to,Backwards,2,0
43,amn,to,Backwards,2,0
44,amn,to,Backwards,2,0
45,amn,to,Backwards,2,0.333333333333333
46,amn,to,Backwards,2,NaN
47,amn,to,Backwards,2,0.5
48,amn,to,Backwards,2,NaN
49,amn,to,Backwards,2,0
50,amn,to,Backwards,2,0
51,amn,to,Backwards,2,0
52,amn,to,Backwards,2,NaN
53,amn,to,Backwards,2,1
54,amn,to,Backwards,2,0
55,amn,to,Backwards,2,0
56,amn,to,Backwards,2,0
57,amn,to,Backwards,2,NaN
58,amn,to,Backwards,2,NaN
59,amn,to,Backwards,2,0
60,amn,to,Backwards,2,NaN
61,amn,to,Backwards,2,NaN
62,amn,to,Backwards,2,NaN
63,amn,to,Backwards,2,NaN
64,amn,to,Backwards,2,NaN
65,amn,to,Backwards,2,0
66,amn,to,Backwards,2,NaN
67,amn,to,Backwards,2,0.5
68,amn,to,Backwards,2,0
69,amn,to,Backwards,2,NaN
70,amn,to,Backwards,2,0
71,amn,to,Backwards,2,NaN
73,amn,to,Backwards,2,0
74,amn,to,Backwards,2,NaN
75,amn,to,Backwards,2,NaN
4,amn,to,Backwards,1,NaN
5,amn,to,Backwards,1,1
6,amn,to,Backwards,1,0
7,amn,to,Backwards,1,NaN
9,amn,to,Backwards,1,0
10,amn,to,Backwards,1,0
11,amn,to,Backwards,1,1
12,amn,to,Backwards,1,0
14,amn,to,Backwards,1,0
15,amn,to,Backwards,1,0
16,amn,to,Backwards,1,1
17,amn,to,Backwards,1,0.5
18,amn,to,Backwards,1,0
19,amn,to,Backwards,1,0.5
20,amn,to,Backwards,1,NaN
21,amn,to,Backwards,1,0
22,amn,to,Backwards,1,0
23,amn,to,Backwards,1,0
24,amn,to,Backwards,1,0
25,amn,to,Backwards,1,1
26,amn,to,Backwards,1,NaN
27,amn,to,Backwards,1,0.5
28,amn,to,Backwards,1,NaN
29,amn,to,Backwards,1,1
30,amn,to,Backwards,1,NaN
31,amn,to,Backwards,1,0.5
32,amn,to,Backwards,1,1
33,amn,to,Backwards,1,NaN
34,amn,to,Backwards,1,0
35,amn,to,Backwards,1,0
36,amn,to,Backwards,1,0
37,amn,to,Backwards,1,0.5
38,amn,to,Backwards,1,0
39,amn,to,Backwards,1,0
40,amn,to,Backwards,1,NaN
41,amn,to,Backwards,1,NaN
42,amn,to,Backwards,1,0
43,amn,to,Backwards,1,NaN
44,amn,to,Backwards,1,1
45,amn,to,Backwards,1,1
46,amn,to,Backwards,1,0
47,amn,to,Backwards,1,0
48,amn,to,Backwards,1,0
49,amn,to,Backwards,1,NaN
50,amn,to,Backwards,1,1
51,amn,to,Backwards,1,0
52,amn,to,Backwards,1,NaN
53,amn,to,Backwards,1,0
54,amn,to,Backwards,1,0
55,amn,to,Backwards,1,0
56,amn,to,Backwards,1,0
57,amn,to,Backwards,1,0
58,amn,to,Backwards,1,1
59,amn,to,Backwards,1,1
60,amn,to,Backwards,1,NaN
61,amn,to,Backwards,1,NaN
62,amn,to,Backwards,1,NaN
63,amn,to,Backwards,1,0
64,amn,to,Backwards,1,NaN
65,amn,to,Backwards,1,NaN
66,amn,to,Backwards,1,NaN
67,amn,to,Backwards,1,1
68,amn,to,Backwards,1,1
69,amn,to,Backwards,1,0
70,amn,to,Backwards,1,NaN
71,amn,to,Backwards,1,0
73,amn,to,Backwards,1,1
74,amn,to,Backwards,1,NaN
75,amn,to,Backwards,1,NaN
4,amn,to,Forwards,1,0
5,amn,to,Forwards,1,NaN
6,amn,to,Forwards,1,0
7,amn,to,Forwards,1,NaN
9,amn,to,Forwards,1,0.5
10,amn,to,Forwards,1,NaN
11,amn,to,Forwards,1,0
12,amn,to,Forwards,1,0
14,amn,to,Forwards,1,0.5
15,amn,to,Forwards,1,1
16,amn,to,Forwards,1,0
17,amn,to,Forwards,1,0.5
18,amn,to,Forwards,1,0.333333333333333
19,amn,to,Forwards,1,1
20,amn,to,Forwards,1,NaN
21,amn,to,Forwards,1,0.5
22,amn,to,Forwards,1,0
23,amn,to,Forwards,1,0
24,amn,to,Forwards,1,NaN
25,amn,to,Forwards,1,NaN
26,amn,to,Forwards,1,NaN
27,amn,to,Forwards,1,0
28,amn,to,Forwards,1,0
29,amn,to,Forwards,1,NaN
30,amn,to,Forwards,1,NaN
31,amn,to,Forwards,1,0
32,amn,to,Forwards,1,0
33,amn,to,Forwards,1,0
34,amn,to,Forwards,1,0
35,amn,to,Forwards,1,1
36,amn,to,Forwards,1,0
37,amn,to,Forwards,1,0
38,amn,to,Forwards,1,1
39,amn,to,Forwards,1,0.666666666666667
40,amn,to,Forwards,1,0
41,amn,to,Forwards,1,NaN
42,amn,to,Forwards,1,NaN
43,amn,to,Forwards,1,0
44,amn,to,Forwards,1,0.5
45,amn,to,Forwards,1,NaN
46,amn,to,Forwards,1,0.5
47,amn,to,Forwards,1,0
48,amn,to,Forwards,1,0
49,amn,to,Forwards,1,NaN
50,amn,to,Forwards,1,0.5
51,amn,to,Forwards,1,0
52,amn,to,Forwards,1,NaN
53,amn,to,Forwards,1,NaN
54,amn,to,Forwards,1,0
55,amn,to,Forwards,1,1
56,amn,to,Forwards,1,NaN
57,amn,to,Forwards,1,0
